iter,num_proxies,total_error,changed_faces,max_region_error,region_0_faces,region_0_error,region_1_faces,region_1_error,region_2_faces,region_2_error,region_3_faces,region_3_error,region_4_faces,region_4_error,region_5_faces,region_5_error,region_6_faces,region_6_error,region_7_faces,region_7_error,region_8_faces,region_8_error,region_9_faces,region_9_error
0,10,0.0233762,0,0.694346,829,0.385481,579,0.168127,796,0.314081,441,0.266594,343,0.341593,1709,0.488832,158,0.170426,588,0.694346,1579,0.686695,178,0.56091
1,10,0.0186035,1269,0.579626,775,0.364615,1038,0.252638,628,0.232175,483,0.190374,231,0.275758,1774,0.430958,275,0.232476,495,0.579626,1371,0.492611,130,0.387268
2,10,0.0160449,682,0.54014,778,0.361095,1121,0.261025,567,0.171647,489,0.18149,389,0.264253,1841,0.427161,269,0.240381,471,0.54014,1146,0.273586,129,0.345381
3,10,0.0149785,350,0.540307,795,0.36886,1124,0.253252,569,0.170728,482,0.172848,474,0.275819,1788,0.411579,284,0.233659,483,0.540307,1069,0.169197,132,0.349572
4,10,0.0144934,218,0.537255,797,0.370114,1142,0.253751,582,0.180616,480,0.173466,507,0.266103,1737,0.396963,310,0.239812,482,0.537255,1028,0.135897,135,0.350062
5,10,0.0142159,197,0.53124,787,0.368939,1149,0.253991,593,0.184418,481,0.177915,537,0.259304,1696,0.390002,333,0.243747,479,0.53124,1009,0.121343,136,0.34005
