region_i,region_j,fuzzy_count,v0_count,v1_count,cut_cost,relabeled_count,boundary_before,boundary_after
0,1,534,263,266,263.475,5,3.8033,3.91175
0,2,344,172,167,174.537,5,2.46822,2.54017
1,2,352,190,157,187.048,5,2.71991,2.75706
1,3,420,211,205,189.318,4,2.71159,2.78593
1,4,176,96,77,87.0296,3,1.28524,1.28524
3,4,176,96,77,87.0296,0,0,0
