step,num_proxies_before,split_region,split_region_error,seed_face,seed_face_error,total_error_after_lloyd
1,3,1,1.94991e-07,1792,8.56417e-10,4.47223e-07
2,4,1,1.85489e-07,3072,8.91266e-10,3.82181e-07
