iter,num_proxies,total_error,changed_faces,max_region_error,region_0_faces,region_0_error,region_1_faces,region_1_error,region_2_faces,region_2_error,region_3_faces,region_3_error,region_4_faces,region_4_error,region_5_faces,region_5_error,region_6_faces,region_6_error,region_7_faces,region_7_error,region_8_faces,region_8_error,region_9_faces,region_9_error
0,10,4.39883e-07,0,2.62341e-05,829,3.11847e-06,579,2.88885e-06,796,3.19502e-06,441,4.29026e-06,343,3.59765e-07,1709,2.62341e-05,158,3.36654e-07,588,2.78085e-06,1579,5.71889e-06,178,8.60418e-07
1,10,1.83193e-07,2528,6.63902e-06,1460,5.23422e-06,588,3.69048e-06,735,1.58479e-06,98,6.89553e-08,478,3.68096e-07,571,4.05027e-06,528,2.19701e-06,873,6.63902e-06,1547,4.05894e-06,322,2.87127e-06
2,10,3.5832e-07,2205,2.47129e-05,1675,2.47129e-05,374,2.56952e-06,930,3.01253e-06,417,1.2347e-06,559,2.66256e-07,800,2.77401e-06,803,2.16006e-06,1,1.16276e-21,1281,2.60256e-06,360,2.79947e-06
3,10,1.77494e-07,1868,1.29763e-05,746,1.69833e-06,431,2.48445e-06,701,2.43179e-06,495,9.90134e-07,854,3.4246e-07,1242,5.86292e-06,858,2.23802e-06,35,2.10262e-08,1063,3.50397e-06,775,1.29763e-05
4,10,1.1894e-07,1738,4.26092e-06,1130,3.63935e-06,524,2.65103e-06,648,1.78157e-06,498,1.5205e-06,1445,1.9106e-06,994,4.26092e-06,432,1.15979e-06,135,2.16067e-07,959,2.29643e-06,435,4.49183e-07
5,10,8.39338e-08,1263,2.99748e-06,1087,2.30776e-06,407,1.4843e-06,662,1.80821e-06,438,1.67218e-06,1205,8.72886e-07,780,2.99748e-06,749,1.2842e-06,249,3.07178e-07,1135,2.35365e-06,488,6.39669e-07
